iso3,month,ndvi_mean
HTI,5,0.6352999806404114
HTI,6,0.6746000051498413
HTI,7,0.6664999723434448
HTI,8,0.6650000214576721
HTI,9,0.6912000179290771
HTI,10,0.7175999879837036
HTI,11,0.7361999750137329
HTI,12,0.704200029373169
HUN,1,0.4104999899864197
HUN,2,0.4169999957084656
HUN,3,0.5127999782562256
HUN,4,0.6297000050544739
HUN,5,0.6808000206947327
HUN,6,0.6970999836921692
HUN,7,0.6452000141143799
HUN,8,0.5651000142097473
HUN,9,0.5160999894142151
HUN,10,0.5683000087738037
HUN,11,0.516700029373169
HUN,12,0.4794000089168548
IDN,1,0.7853999733924866
IDN,2,0.7936000227928162
IDN,3,0.7932000160217285
IDN,4,0.7973999977111816
IDN,5,0.796500027179718
IDN,6,0.7924000024795532
IDN,7,0.7874000072479248
IDN,8,0.7821999788284302
IDN,9,0.7760999798774719
IDN,10,0.7724999785423279
IDN,11,0.781000018119812
IDN,12,0.7843999862670898
IND,1,0.5073999762535095
IND,2,0.4801999926567077
IND,3,0.430400013923645
IND,4,0.3783999979496002
IND,5,0.3736999928951263
IND,6,0.4316000044345855
IND,7,0.5464000105857849
IND,8,0.6585000157356262
IND,9,0.6693999767303467
IND,10,0.6226999759674072
IND,11,0.5188999772071838
IND,12,0.4945999979972839
IRL,1,0.7071999907493591
IRL,2,0.7181000113487244
IRL,3,0.72079998254776
IRL,4,0.7461000084877014
IRL,5,0.7757999897003174
IRL,6,0.777899980545044
IRL,7,0.770799994468689
IRL,8,0.7750999927520752
IRL,9,0.7781999707221985
IRL,10,0.7462000250816345
IRL,11,0.7307999730110168
IRL,12,0.6891999840736389
IRN,1,0.127700001001358
IRN,2,0.1272000074386596
IRN,3,0.1416999995708465
IRN,4,0.1685999929904937
IRN,5,0.1833000034093856
IRN,6,0.1648000031709671
IRN,7,0.1411000043153762
IRN,8,0.1336999982595443
IRN,9,0.1317999958992004
IRN,10,0.1287000030279159
IRN,11,0.1253000050783157
IRN,12,0.1238000020384788
IRQ,1,0.1894000023603439
IRQ,2,0.2141000032424926
IRQ,3,0.2213999927043914
IRQ,4,0.2157000005245208
